index,time,open,high,low,close,volume
62,2023-10-17 13:00:00,177.7420,177.8960,176.4940,176.7080,5073092
61,2023-10-17 14:00:00,176.7140,177.0880,175.9100,176.1690,6110014
60,2023-10-17 15:00:00,176.1660,176.8490,175.9900,176.6880,9374889
59,2023-10-18 10:00:00,176.1310,177.1230,175.3020,175.6900,9002430
58,2023-10-18 11:00:00,175.6870,176.9490,175.6660,176.5680,5610314
57,2023-10-18 12:00:00,176.5600,177.0780,175.8050,175.9300,4832114
56,2023-10-18 13:00:00,175.9170,176.9190,175.7650,176.3090,5527250
55,2023-10-18 14:00:00,176.2960,176.6790,175.7750,175.9700,4603527
54,2023-10-18 15:00:00,175.9660,175.9910,174.6580,175.3910,9312050
53,2023-10-19 10:00:00,176.3950,176.8790,175.7060,176.0140,6478644
52,2023-10-19 11:00:00,176.0060,176.2700,175.1820,176.0290,5361342
51,2023-10-19 12:00:00,176.0190,177.3100,175.0070,176.6040,9591483
50,2023-10-19 13:00:00,176.6050,177.3870,176.1050,176.3290,5507470
49,2023-10-19 14:00:00,176.3050,176.5700,175.0670,175.1720,5074602
48,2023-10-19 15:00:00,175.1730,175.6120,174.7380,175.0020,8555761
47,2023-10-20 10:00:00,174.6550,174.8740,172.8930,172.9220,9635478
46,2023-10-20 11:00:00,172.9140,173.2380,172.1950,173.1970,7922047
45,2023-10-20 12:00:00,173.2030,173.9160,172.9530,173.8700,5331644
44,2023-10-20 13:00:00,173.8720,174.2750,173.4390,173.8600,5184147
43,2023-10-20 14:00:00,173.8520,173.9460,172.8080,173.0670,4993615
42,2023-10-20 15:00:00,173.0840,173.3130,172.3540,172.3990,9782522
41,2023-10-23 10:00:00,170.9290,171.7920,170.6490,171.7700,8678931
40,2023-10-23 11:00:00,171.7770,172.5450,171.5760,172.1390,5730629
39,2023-10-23 12:00:00,172.1560,173.1780,171.8360,173.1570,5361123
38,2023-10-23 13:00:00,173.1640,173.5670,172.6670,173.0780,4862502
37,2023-10-23 14:00:00,173.0740,173.3710,172.6920,173.0570,4367898
36,2023-10-23 15:00:00,173.0540,173.2830,172.2750,172.5180,8207699
35,2023-10-24 10:00:00,172.3110,172.4500,171.3670,172.0890,7416692
34,2023-10-24 11:00:00,172.0860,172.3400,171.6860,172.2990,4500762
33,2023-10-24 12:00:00,172.3160,172.5800,171.0080,171.3210,4411522
32,2023-10-24 13:00:00,171.3180,171.9260,171.2570,171.6610,3382776
31,2023-10-24 14:00:00,171.6570,172.7340,171.6160,172.6780,4011325
30,2023-10-24 15:00:00,172.6750,173.2280,172.5890,172.9470,8264508
29,2023-10-25 10:00:00,170.8400,172.5200,170.3890,171.7050,9346022
28,2023-10-25 11:00:00,171.7020,172.6200,171.2720,171.3010,5997323
27,2023-10-25 12:00:00,171.2980,171.5620,170.8880,171.4810,4488415
26,2023-10-25 13:00:00,171.4780,171.6120,170.3300,170.6880,5266938
25,2023-10-25 14:00:00,170.6800,171.1830,170.4990,170.6530,4262404
24,2023-10-25 15:00:00,170.6550,170.9940,170.2100,170.6530,9740921
23,2023-10-26 10:00:00,169.3430,170.0740,167.4570,167.8850,11204895
22,2023-10-26 11:00:00,167.8770,167.9860,166.0900,166.8410,9486373
21,2023-10-26 12:00:00,166.8300,166.8940,165.5220,165.6510,7161722
20,2023-10-26 13:00:00,165.6480,166.4600,165.2430,166.3440,6193698
19,2023-10-26 14:00:00,166.3410,167.2830,166.2500,167.2570,6612049
18,2023-10-26 15:00:00,167.2490,168.3500,165.9460,166.3340,11246895
17,2023-10-27 10:00:00,167.4480,168.3410,166.9580,168.0050,8077657
16,2023-10-27 11:00:00,168.0070,168.5300,167.5870,167.9400,5001115
15,2023-10-27 12:00:00,167.9170,168.0610,166.8590,166.9920,3764885
14,2023-10-27 13:00:00,166.9990,167.4830,166.4000,167.2320,6171175
13,2023-10-27 14:00:00,167.2190,167.8020,166.8680,167.1920,5975788
12,2023-10-27 15:00:00,167.1890,167.9120,167.0580,167.8550,9278908
11,2023-10-30 10:00:00,170.1910,170.4650,168.7740,169.0090,8695022
10,2023-10-30 11:00:00,169.0040,169.7670,168.9880,169.4860,4714878
9,2023-10-30 12:00:00,169.4730,169.5670,168.6140,168.9380,3740315
8,2023-10-30 13:00:00,168.9340,169.9660,168.7470,169.8450,4449841
7,2023-10-30 14:00:00,169.8420,170.3850,169.6960,170.0650,4599782
6,2023-10-30 15:00:00,170.0620,170.2360,169.4020,169.7950,9716378
5,2023-10-31 10:00:00,168.1170,169.4380,167.8860,169.2770,6722328
4,2023-10-31 11:00:00,169.2740,169.3830,168.4100,169.3270,4663675
3,2023-10-31 12:00:00,169.3130,169.6370,168.8330,169.5620,3893062
2,2023-10-31 13:00:00,169.5730,170.3150,169.3320,170.2090,4208612
1,2023-10-31 14:00:00,170.2010,170.3060,169.4930,170.0950,3421217
0,2023-10-31 15:00:00,170.1010,170.4650,169.9410,170.3340,6391521
257,2023-11-01 10:00:00,170.6670,171.6370,170.3370,171.0150,8625115
256,2023-11-01 11:00:00,171.0160,171.5570,170.5570,171.5060,4493756
255,2023-11-01 12:00:00,171.5000,171.7370,171.1650,171.5910,3396539
254,2023-11-01 13:00:00,171.5900,171.9360,171.3250,171.7450,3651859
253,2023-11-01 14:00:00,171.7540,172.8240,171.4640,172.7530,8449898
252,2023-11-01 15:00:00,172.7420,173.7820,172.7310,173.4610,12112444
251,2023-11-02 10:00:00,175.8940,177.0830,175.0650,176.9820,9446542
250,2023-11-02 11:00:00,176.9810,177.2030,175.9810,176.3420,7467359
249,2023-11-02 12:00:00,176.3430,176.8590,175.9530,176.5180,6666688
248,2023-11-02 13:00:00,176.5120,177.1530,175.7680,176.8520,5125012
247,2023-11-02 14:00:00,176.8410,177.0430,176.6310,176.9970,5440823
246,2023-11-02 15:00:00,176.9910,177.3220,176.7110,177.3210,14618928
245,2023-11-03 10:00:00,174.9060,175.4870,173.7540,175.2660,13437048
244,2023-11-03 11:00:00,175.2700,175.3370,174.1470,174.9770,7267699
243,2023-11-03 12:00:00,174.9860,176.0360,174.8550,175.7440,7425003
242,2023-11-03 13:00:00,175.7240,175.9660,173.8180,175.1070,5559941
241,2023-11-03 14:00:00,175.1060,175.7860,174.6160,175.6550,5772564
240,2023-11-03 15:00:00,175.6540,176.3650,175.3940,176.1740,10561078
239,2023-11-06 10:00:00,178.1280,178.5990,177.4390,178.2930,9569604
238,2023-11-06 11:00:00,178.2870,178.9680,178.2570,178.7970,6799666
237,2023-11-06 12:00:00,178.7910,178.8040,178.1770,178.4280,4605871
236,2023-11-06 13:00:00,178.4270,178.4330,177.5490,177.8900,4777940
235,2023-11-06 14:00:00,177.8980,178.7590,177.6580,178.7470,4825856
234,2023-11-06 15:00:00,178.7460,178.8680,178.2370,178.8270,9287753
233,2023-11-07 10:00:00,179.7240,180.8030,179.6730,180.7470,9733906
232,2023-11-07 11:00:00,180.7460,181.1720,180.6110,181.0010,6287323
231,2023-11-07 12:00:00,181.0100,181.1230,180.0520,181.1060,7121512
230,2023-11-07 13:00:00,181.1100,181.9700,181.0540,181.8990,6979732
229,2023-11-07 14:00:00,181.8980,181.9600,181.4290,181.5700,4694482
228,2023-11-07 15:00:00,181.5790,181.8710,181.0790,181.4100,11025536
227,2023-11-08 10:00:00,182.5070,182.8580,181.8130,182.1080,8513414
226,2023-11-08 11:00:00,182.1130,182.3790,181.5280,181.5400,5442428
225,2023-11-08 12:00:00,181.5490,181.8210,181.1190,181.6800,4418397
224,2023-11-08 13:00:00,181.6890,182.2770,181.5280,182.1220,3483346
223,2023-11-08 14:00:00,182.1180,182.4190,181.8970,181.9590,3729429
222,2023-11-08 15:00:00,181.9580,182.5390,181.9370,182.4180,8050420
221,2023-11-09 10:00:00,182.8160,182.9430,182.0070,182.8860,6698792
220,2023-11-09 11:00:00,182.8760,183.6460,182.8500,183.4950,6760565
219,2023-11-09 12:00:00,183.4940,183.5410,183.0340,183.4550,4000808
218,2023-11-09 13:00:00,183.4540,183.4960,182.2160,182.6460,7529615
217,2023-11-09 14:00:00,182.6360,182.6390,181.6880,181.9040,5347700
216,2023-11-09 15:00:00,181.8980,182.0100,181.3390,181.9690,8493004
215,2023-11-10 10:00:00,183.9360,184.2570,183.2960,184.0860,7904978
214,2023-11-10 11:00:00,184.0960,184.7070,184.0650,184.4960,5488732
213,2023-11-10 12:00:00,184.4950,185.1960,184.4250,185.0490,6356120
212,2023-11-10 13:00:00,185.0450,185.5960,184.9240,185.5040,5270233
211,2023-11-10 14:00:00,185.5140,185.7400,185.3180,185.3450,5540019
210,2023-11-10 15:00:00,185.3490,186.3300,185.3430,186.1030,13085053
209,2023-11-13 10:00:00,184.3650,184.7370,183.9750,184.4110,6874614
208,2023-11-13 11:00:00,184.4050,184.9060,184.4050,184.5550,4990265
207,2023-11-13 12:00:00,184.5550,184.6670,184.1550,184.5850,4264839
